flips,state,2000,2001,2002,2003,2004,2005,2006,2007,2008
US01,Alabama,860,664,404,1355,1421,1302,1465,1567,1555
US02,Alaska,8239,8369,8402,8342,8126,8103,7886,7881,7726
US04,Arizona,4021,3911,3247,3938,3836,4174,5693,6361,6130
US05,Arkansas,2708,5257,4598,6129,6963,7377,6284,7019,6760
US06,California,126737,132850,114797,142572,148325,148595,154596,159395,148223
US08,Colorado,262,247,285,1306,1076,1215,3186,3546,3500
US09,Connecticut,207,230,280,235,359,433,230,209,207
US10,Delaware,0,0,0,0,0,0,62,91,0
US12,Florida,44027,46226,38939,47278,53798,59303,57596,61544,60744
US13,Georgia,198,0,0,1892,1810,1442,1240,1214,1188
US15,Hawaii,4686,10620,2995,4489,10540,11092,18509,20605,16920
US16,Idaho,2513,2416,2198,5086,5184,5612,5528,5885,5446
US17,Illinois,70412,79153,76714,91578,95208,88236,97592,97612,90531
US18,Indiana,7544,8715,7381,11021,11859,11871,9644,12268,12059
US19,Iowa,138,318,213,664,670,648,692,751,633
US20,Kansas,1308,1575,1075,2021,2051,2222,2562,2960,2821
US21,Kentucky,703,590,339,1363,2016,1981,1886,2002,2077
US22,Louisiana,11834,12852,11645,15070,15425,13139,11395,13116,12781
US23,Maine,1221,2711,2080,2776,3212,2966,2377,2500,1963
US24,Maryland,18244,19976,17388,19880,21254,21411,21581,21953,20898
US25,Massachusetts,0,199,56,0,0,0,0,0,0
US26,Michigan,34263,34408,32258,34130,37774,35151,33936,44324,40923
US27,Minnesota,29903,28952,28808,29393,29925,28051,25892,32157,26850
US28,Mississippi,1807,1827,1380,2424,2589,2554,2427,2929,2725
US29,Missouri,64613,60946,50183,57611,58912,60499,53012,51505,47291
US30,Montana,2133,2099,2008,3586,4766,4929,4162,4223,3673
US31,Nebraska,4001,4031,3520,4427,4733,5003,5209,6482,6032
US32,Nevada,6134,5176,4794,6128,6660,6060,5670,5826,5193
US33,New Hampshire,2746,3222,3045,3854,4785,4973,4264,4284,3732
US34,New Jersey,0,0,0,26,219,207,153,147,23
US35,New Mexico,7289,7253,7255,7352,7421,7409,7475,8261,8262
US36,New York,63913,70082,57668,76735,87938,89437,90519,93134,86765
US37,North Carolina,7799,8242,9392,11375,13670,14008,12741,14844,13581
US38,North Dakota,1177,959,1173,1616,1689,1647,1837,2158,1843
US39,Ohio,35426,34466,30363,47149,72529,71275,53376,49221,41863
US40,Oklahoma,7964,8915,8003,9152,8806,8550,8766,10464,9761
US41,Oregon,737,663,464,1642,2027,2185,2512,2560,2392
US42,Pennsylvania,24569,24282,18130,16019,17187,13948,13038,13774,11773
US44,Rhode Island,0,0,0,0,0,0,0,0,0
US45,South Carolina,4299,3944,2708,7396,10131,9371,8419,9353,8417
US46,South Dakota,952,871,672,1481,1903,1742,2231,2369,2006
US47,Tennessee,24415,24059,20722,24801,26538,26340,25017,33423,32112
US48,Texas,84355,101027,92295,106547,109598,102461,103277,104278,98996
US49,Utah,16099,15288,14018,25983,28522,32974,29264,30394,28729
US50,Vermont,526,888,605,1439,1609,1800,1377,1452,1406
US51,Virginia,443,328,0,2600,2864,2598,2666,2311,2324
US53,Washington,23922,23274,22718,24490,25619,24839,24948,25889,25628
US54,West Virginia,229,165,0,1111,1090,1002,825,702,685
US55,Wisconsin,4458,5643,5193,6874,7755,8199,9704,11340,14149
US56,Wyoming,172,163,216,1425,1557,1619,1661,1754,1748
